"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Sorbus americana","ensemble_ssp245_2041",361455,28.4,59.9,7.3,3.9,0.4,0.1
"Sorbus americana","ensemble_ssp245_2071",549905,26.2,61.6,8.7,2.5,0.7,0.2
"Sorbus americana","ensemble_ssp370_2041",361455,26.1,60.7,8.7,3.5,0.8,0.2
"Sorbus americana","ensemble_ssp370_2071",549905,29.1,56,11.2,2.1,1.3,0.2
"Syringa vulgaris","current",620642,72.4,3.4,3.4,4.5,3.7,12.6
"Syringa vulgaris","ensemble_ssp245_2041",821448,44.5,12.4,9.2,6.8,9.8,17.1
"Syringa vulgaris","ensemble_ssp245_2071",1033763,47.9,11.8,7.3,5.4,8.8,18.8
"Syringa vulgaris","ensemble_ssp370_2041",821448,40.9,12.9,9.3,6.4,10.3,20.2
"Syringa vulgaris","ensemble_ssp370_2071",1033763,36,11.7,8,5.8,9.6,28.8
"Tilia americana","current",389892,70.8,5.2,4,4.4,4.7,11
"Tilia americana","ensemble_ssp245_2041",541754,53.8,20.6,10.2,5.7,5.2,4.6
"Tilia americana","ensemble_ssp245_2071",788942,60.7,16.1,9.3,4.8,4.8,4.2
"Tilia americana","ensemble_ssp370_2041",541754,51.4,20.9,10.4,6.1,6.3,5
"Tilia americana","ensemble_ssp370_2071",788942,51.8,17.3,11.5,4.7,7.2,7.5
"Ruta graveolens","current",727416,64,7.6,6.9,6.8,8.4,6.3
"Ruta graveolens","ensemble_ssp245_2041",827399,51.6,13.3,7.9,5.9,9.6,11.7
"Ruta graveolens","ensemble_ssp245_2071",1018642,52.4,13.7,8.8,5.8,8.5,10.8
"Ruta graveolens","ensemble_ssp370_2041",827399,49.9,13.2,8.6,6.5,9.9,11.9
"Ruta graveolens","ensemble_ssp370_2071",1018642,36.1,18.4,14.6,8.9,8.7,13.3
"Zanthoxylum americanum","current",149494,73.8,5.7,2.8,3.1,4.2,10.4
"Zanthoxylum americanum","ensemble_ssp245_2041",285788,61.7,11,9,6.4,8.6,3.4
"Zanthoxylum americanum","ensemble_ssp245_2071",533654,67.2,10.5,10.7,3.9,5.8,1.9
"Zanthoxylum americanum","ensemble_ssp370_2041",285788,58.6,12.4,10.8,6,9.5,2.6
"Zanthoxylum americanum","ensemble_ssp370_2071",533654,58.6,6.7,12.4,9,7,6.4
"Zanthoxylum clava-herculis","current",99409,67.7,6.7,3.1,3.7,4.4,14.4
"Zanthoxylum clava-herculis","ensemble_ssp245_2041",179015,56.7,20.3,19.4,2.9,0.7,0
"Zanthoxylum clava-herculis","ensemble_ssp245_2071",359185,72.3,13.1,12.6,1.6,0.4,0
"Zanthoxylum clava-herculis","ensemble_ssp370_2041",179015,54.2,19.8,22.1,3.1,0.8,0.1
"Zanthoxylum clava-herculis","ensemble_ssp370_2071",359185,64.3,13.7,19.3,2.2,0.5,0
"Alnus rubra","current",62474,71.2,5.4,3.5,3.6,3.1,13.2
"Alnus rubra","ensemble_ssp245_2041",158983,60.2,15.7,8.2,4.1,3.6,8.2
"Alnus rubra","ensemble_ssp245_2071",393474,71.3,14.6,6.2,2.5,1.9,3.6
"Alnus rubra","ensemble_ssp370_2041",158983,60.1,15.6,8.5,4.5,3.1,8.2
"Alnus rubra","ensemble_ssp370_2071",393474,63.9,19.3,7.9,2.6,1.9,4.3
"Eriodictyon californicum","current",15536,58.1,8.6,5.6,4.6,5.1,18
"Eriodictyon californicum","ensemble_ssp245_2041",50467,24,45.3,19.5,7.8,3.4,0
"Eriodictyon californicum","ensemble_ssp245_2071",143915,16.4,41.3,28.6,10.3,3.3,0
"Eriodictyon californicum","ensemble_ssp370_2041",50467,21.6,44.5,19.3,9.4,5.1,0
"Eriodictyon californicum","ensemble_ssp370_2071",143915,11.9,37.1,28.7,15.8,6.5,0
"Holodiscus discolor","current",205260,75.1,3.8,4.2,2.5,2.8,11.7
"Holodiscus discolor","ensemble_ssp245_2041",319263,73.2,11.8,5.2,3.6,2,4.2
"Holodiscus discolor","ensemble_ssp245_2071",549287,76.8,14.2,3.8,2.2,0.9,2.1
"Holodiscus discolor","ensemble_ssp370_2041",319263,73.8,11.5,5.5,3.6,1.8,3.9
"Holodiscus discolor","ensemble_ssp370_2071",549287,74.2,16.4,4.6,2.1,0.7,1.9
"Prunus emarginata","current",109680,69.5,10.1,4.3,3.3,4.4,8.4
"Prunus emarginata","ensemble_ssp245_2041",194973,65.6,25.7,5.2,1.4,0.7,1.4
"Prunus emarginata","ensemble_ssp245_2071",383522,80.2,15.2,3.2,0.7,0.3,0.5
"Prunus emarginata","ensemble_ssp370_2041",194973,64.8,26.4,5.6,1.4,0.6,1.2
"Prunus emarginata","ensemble_ssp370_2071",383522,80.7,14.9,3.2,0.6,0.2,0.4
"Frangula californica","current",71261,80.2,6,2.6,2.5,3.8,5
"Frangula californica","ensemble_ssp245_2041",136482,81,13,4.5,1.1,0.3,0
"Frangula californica","ensemble_ssp245_2071",273231,68.4,23.2,7.3,1,0.1,0
"Frangula californica","ensemble_ssp370_2041",136482,82.2,12.3,4.1,1.1,0.2,0
"Frangula californica","ensemble_ssp370_2071",273231,68,22.9,7.7,1.2,0.1,0
"Carpinus caroliniana","current",222133,55.4,11.6,8.2,6.5,8.7,9.6
"Carpinus caroliniana","ensemble_ssp245_2041",334565,60.8,30.9,7.4,0.8,0,0
"Carpinus caroliniana","ensemble_ssp245_2071",562289,58.5,33.9,6.5,0.9,0.2,0
"Carpinus caroliniana","ensemble_ssp370_2041",334565,57.2,32.5,9.4,0.8,0.1,0
"Carpinus caroliniana","ensemble_ssp370_2071",562289,50.9,35.2,12.1,1.4,0.4,0
"Catalpa bignonioides","current",591503,69.7,5,3,3.1,5.5,13.6
"Catalpa bignonioides","ensemble_ssp245_2041",728448,55.3,13,10.7,8.2,7.1,5.7
"Catalpa bignonioides","ensemble_ssp245_2071",958921,57,15.5,9.2,6.7,6.6,5.1
"Catalpa bignonioides","ensemble_ssp370_2041",728448,52.7,13.9,11.6,8,7.6,6.3
"Catalpa bignonioides","ensemble_ssp370_2071",958921,47.1,19.1,12,8,7.8,5.9
"Cinnamomum camphora","current",179022,88.6,2.2,1.1,0.8,1.1,6.3
"Cinnamomum camphora","ensemble_ssp245_2041",295562,79.7,5.2,5.6,2.7,2.3,4.5
"Cinnamomum camphora","ensemble_ssp245_2071",473304,80.6,6.6,5.3,2.9,1.9,2.7
"Cinnamomum camphora","ensemble_ssp370_2041",295562,79.2,5.3,5.8,2.8,2.5,4.4
"Cinnamomum camphora","ensemble_ssp370_2071",473304,78.2,8,6.7,2.9,2,2.2
"Cydonia oblonga","current",670274,82,5.7,3.5,2,2.6,4.1
"Cydonia oblonga","ensemble_ssp245_2041",799521,65.3,8.4,10.2,4.8,4.5,6.8
"Cydonia oblonga","ensemble_ssp245_2071",998500,63.3,10.6,10.5,4.8,4.3,6.5
"Cydonia oblonga","ensemble_ssp370_2041",799521,62.9,9.1,10.6,5,4.7,7.7
"Cydonia oblonga","ensemble_ssp370_2071",998500,46.5,18.8,12.4,6.1,7.7,8.4
"Fraxinus caroliniana","current",74968,73.8,6.6,3,4.5,3.9,8.3
"Fraxinus caroliniana","ensemble_ssp245_2041",134609,45.2,35.6,10.7,5.8,0.6,2.1
"Fraxinus caroliniana","ensemble_ssp245_2071",281581,51.9,37.3,6.9,2.7,0.4,0.8
"Fraxinus caroliniana","ensemble_ssp370_2041",134609,44.7,35.4,11.5,5.9,0.6,2.1
"Fraxinus caroliniana","ensemble_ssp370_2071",281581,50.2,42.2,5.5,1.4,0.6,0.1
"Fraxinus nigra","current",181999,60.4,11.8,6.9,5.4,4.8,10.7
"Fraxinus nigra","ensemble_ssp245_2041",326326,46.2,14.9,13.7,12.3,10,2.9
"Fraxinus nigra","ensemble_ssp245_2071",559314,53.9,13.4,9.6,10.4,8.7,3.9
"Fraxinus nigra","ensemble_ssp370_2041",326326,45.3,13.9,13.7,12.9,9.8,4.4
"Fraxinus nigra","ensemble_ssp370_2071",559314,47.3,15.2,7.8,9.3,15.9,4.5
"Lindera benzoin","current",147863,55.6,5.6,6.6,5.7,6.8,19.7
"Lindera benzoin","ensemble_ssp245_2041",256400,57.9,17.7,8.9,5.9,5.7,4
"Lindera benzoin","ensemble_ssp245_2071",460083,64.3,18.7,6.5,4.6,3.5,2.4
"Lindera benzoin","ensemble_ssp370_2041",256400,56.1,19.3,8.8,5.9,5.4,4.4
"Lindera benzoin","ensemble_ssp370_2071",460083,60.8,22.4,7.8,4.7,2.5,1.8
